传输轮数,发送站点序号,接收站点序号,发送信息所属站点序号,接收站点消息队列
5,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
5,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
5,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
5,2,4,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
5,2,5,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
5,3,1,3,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
5,3,2,3,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
5,3,4,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
5,3,5,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
6,1,2,1,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
6,1,3,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
6,1,4,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
6,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
6,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
6,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
6,2,4,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
6,2,5,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
6,3,1,3,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
6,3,2,3,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
6,3,4,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
6,3,5,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
7,1,2,1,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
7,1,3,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
7,1,4,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
7,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
7,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
7,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
7,2,4,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
7,2,5,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
7,3,1,3,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
7,3,2,3,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
7,3,4,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
7,3,5,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
